"Time [s]","Moving1.Position [deg]"
0,0
0.00135,0
0.0027,1.61413383658508E-13
0.00405,2.61292147204027E-12
0.0054,1.49999284804919E-11
0.00675,5.48274502121168E-11
0.0081,1.54361762771925E-10
0.00945,3.65749835963357E-10
0.0108,7.66117853360607E-10
0.01215,1.46248448501938E-09
0.0135,2.59637544290403E-09
0.01485,4.34806465621553E-09
0.0162,6.94039984715546E-09
0.01755,1.06421879100438E-08
0.0189,1.57711477065469E-08
0.02025,2.26964280137532E-08
0.0216,3.18407289242694E-08
0.02295,4.3682049907471E-08
0.0243,5.87550957265226E-08
0.02565,7.76524161802643E-08
0.027,1.0102527508014E-07
0.02835,1.2958436010063E-07
0.0297,1.64100350437425E-07
0.03105,2.05404469408609E-07
0.0324,2.54388997576142E-07
0.03375,3.12007873865017E-07
0.0351,3.79277421188105E-07
0.03645,4.57277162420925E-07
0.0378,5.47150949949492E-07
0.03915,6.50108582859251E-07
0.0405,7.67427882986746E-07
0.04185,9.00457423470415E-07
0.0432,1.05061987699532E-06
0.04455,1.21941617735415E-06
0.0459,1.40843063090543E-06
0.04725,1.61933704155144E-06
0.0486,1.85390593890286E-06
0.04995,2.11401311613721E-06
0.0513,2.40164948479457E-06
0.05265,2.71893256456599E-06
0.054,3.06811930407674E-06
0.05535,3.45162124958059E-06
0.0567,3.87202162417235E-06
0.0580499999999999,4.3320943403688E-06
0.0593999999999999,4.83482462337951E-06
0.0607499999999999,5.38343250866473E-06
0.0620999999999999,5.98139813688513E-06
0.0634499999999999,6.63249049151198E-06
0.0647999999999999,7.3407985725784E-06
0.0661499999999999,8.11076533658767E-06
0.0674999999999999,8.94722746189315E-06
0.06885,9.85545086738103E-06
0.0702,1.08411774803058E-05
0.07155,1.1910670627625E-05
0.0729,1.30707645816167E-05
0.07425,1.43289175725962E-05
0.0756,1.56932637693545E-05
0.07695,1.71726832794648E-05
0.0783,1.87768572519676E-05
0.07965,2.05163391429857E-05
0.081,2.24026219584732E-05
0.08235,2.44482111728055E-05
0.0837,2.66666864579312E-05
0.08505,2.90727930972893E-05
0.0864,3.16824939332604E-05
0.08775,3.45130838829386E-05
0.0891,3.75832608022479E-05
0.09045,4.09131886213382E-05
0.0918,4.45246145462099E-05
0.09315,4.84409325606728E-05
0.0945,5.26872695899267E-05
0.09585,5.72905777157079E-05
0.0972,6.2279702779272E-05
0.09855,6.76854274825303E-05
0.0999,7.3540573609985E-05
0.10125,7.98800513772882E-05
0.1026,8.67408896602902E-05
0.10395,9.41623989686703E-05
0.1053,0.00010218614359829
0.10665,0.000110855884657656
0.108,0.000120217733618765
0.10935,0.000130320096375
0.1107,0.000141213712450137
0.11205,0.0001529515897215
0.1134,0.000165589030437159
0.11475,0.000179183571414014
0.1161,0.000193794805282386
0.11745,0.000209484517603181
0.1188,0.000226316505969126
0.12015,0.000244356408444166
0.1215,0.000263671486326561
0.12285,0.000284330653586077
0.1242,0.000306403987540407
0.12555,0.000329962782933015
0.1269,0.000355079196135632
0.12825,0.000381825944819158
0.1296,0.000410276087461007
0.13095,0.000440502616596335
0.1323,0.000472578145567932
0.13365,0.000506574626870396
0.135,0.000542562834503653
0.13635,0.000580612038858707
0.1377,0.000620789586119829
0.13905,0.00066316037650618
0.1404,0.000707786526095899
0.14175,0.000754726844711126
0.1431,0.000804036409862212
0.14445,0.000855766097173402
0.1458,0.000909962171777959
0.14715,0.000966665740589181
0.1485,0.00102591239293827
0.14985,0.00108773173964603
0.1512,0.00115214702411189
0.15255,0.00121917477474267
0.1539,0.00128882449505986
0.15525,0.00136109837445201
0.1566,0.00143599106224012
0.15795,0.00151348947377393
0.1593,0.00159357266370359
0.16065,0.00167621175707923
0.162,0.00176136997922995
0.16335,0.0018490027829824
0.1647,0.00193905804461437
0.16605,0.00203147635689484
0.1674,0.00212619143748007
0.16875,0.00222313057859912
0.1701,0.00232221521297419
0.17145,0.00242336154042707
0.1728,0.00252648129658435
0.17415,0.00263148264503846
0.1755,0.00273827120291704
0.17685,0.00284675111123446
0.1782,0.00295682627488532
0.17955,0.00306840170437091
0.1809,0.00318138488482767
0.18225,0.00329568723713291
0.1836,0.00341122561706604
0.18495,0.00352792375553457
0.1863,0.00364571375976751
0.18765,0.00376453761860839
0.189,0.00388434866183313
0.19035,0.00400511312764426
0.1917,0.00412681156899689
0.19305,0.00424944018982174
0.1944,0.00437301203823635
0.19575,0.004497558184862
0.1971,0.00462312855493532
0.19845,0.00474979275868487
0.1998,0.0048776405822705
0.20115,0.00500678222738188
0.2025,0.00513734823004282
0.20385,0.00526948916481754
0.2052,0.00540337509854192
0.20655,0.00553919478176714
0.2079,0.00567715462211386
0.209249999999999,0.0058174772536668
0.210599999999999,0.00596039991636375
0.211949999999999,0.00610617245747699
0.213299999999999,0.00625505502742996
0.214649999999999,0.0064073154246489
0.215999999999999,0.00656322626083856
0.217349999999999,0.00672306196274531
0.218699999999999,0.00688709554115853
0.220049999999999,0.00705559522619753
0.221399999999999,0.00722882102001651
0.222749999999999,0.00740702098865017
0.224099999999999,0.00759042753215216
0.225449999999999,0.00777925371818263
0.226799999999999,0.00797368967224753
0.228149999999999,0.00817389923811158
0.229499999999999,0.00838001689848697
0.230849999999999,0.0085921451716307
0.232199999999999,0.00881035243082172
0.233549999999999,0.00903467119682541
0.234899999999999,0.00926509689891626
0.236249999999999,0.00950158717456503
0.237599999999999,0.00974406177483872
0.238949999999999,0.00999240300583924
0.240299999999999,0.0102464566986314
0.241649999999999,0.0105060339831398
0.242999999999999,0.0107709140339607
