"Time [s]","Moving1.Torque [mNewtonMeter]"
0,0
0.00135,5.09271652410975E-08
0.0027,7.37093129067736E-07
0.00405,3.33804912871787E-06
0.0054,9.50612295952011E-06
0.00675,2.10771231497459E-05
0.0081,3.99547402441891E-05
0.00945,6.80292498014352E-05
0.0108,0.000107118950127171
0.01215,0.000158929243421519
0.0135,0.000225025754023282
0.01485,0.000306819172892404
0.0162,0.000405557007144294
0.01755,0.000522325789730762
0.0189,0.00065805217533921
0.02025,0.000813515021521157
0.0216,0.000989356006547221
0.02295,0.00118609077934543
0.0243,0.00140413459719675
0.02565,0.00164380660981632
0.027,0.00190536264364534
0.02835,0.00218900929966108
0.0297,0.00249494341000532
0.03105,0.00282335359178852
0.0324,0.00317445527445552
0.03375,0.00354851200420252
0.0351,0.00394582575062727
0.03645,0.00436680152234502
0.0378,0.00481202213314764
0.03915,0.00528225125317147
0.0405,0.00577848469355637
0.04185,0.00630195427302077
0.0432,0.00685418268558669
0.04455,0.00743704171697691
0.0459,0.00805278111311361
0.04725,0.00870405680215392
0.0486,0.0093939999885253
0.04995,0.0101262351476769
0.0513,0.010904975645791
0.05265,0.0117349525754048
0.054,0.0126217016076088
0.05535,0.0135715171154044
0.0567,0.0145914052965666
0.0580499999999999,0.0156889755264859
0.0593999999999999,0.0168728146874203
0.0607499999999999,0.0181522698720615
0.0620999999999999,0.0195378519181256
0.0634499999999999,0.0210410641816516
0.0647999999999999,0.0226744000899446
0.0661499999999999,0.0244523321405405
0.0674999999999999,0.0263884169753634
0.06885,0.028499216033074
0.0702,0.0308018458058205
0.07155,0.0333144628237671
0.0729,0.0360565353742243
0.07425,0.039047432263347
0.0756,0.0423119918875258
0.07695,0.045871929280515
0.0783,0.0497523852455292
0.07965,0.0539786563264704
0.081,0.0585773849406777
0.08235,0.0635720454378552
0.0837,0.0689943805103216
0.08505,0.0748664958407954
0.0864,0.0812263032761241
0.08775,0.0881038349920727
0.0891,0.0955221753357345
0.09045,0.103520607538919
0.0918,0.112127092975069
0.09315,0.121371193991005
0.0945,0.131286457078135
0.09585,0.141899888525116
0.0972,0.153228010798994
0.09855,0.165303938370973
