"Time [s]","$supplied_voltage []"
0.336150000000001,4.13867880000001
0.337500000000001,4.15530000000001
0.338850000000001,4.17192120000001
0.340200000000001,4.18854240000001
0.341550000000001,4.20516360000001
0.342900000000001,4.22178480000001
0.344250000000001,4.23840600000001
0.345600000000001,4.25502720000001
0.346950000000001,4.27164840000001
0.348300000000001,4.28826960000001
0.349650000000001,4.30489080000001
0.351000000000001,4.32151200000001
0.352350000000001,4.33813320000001
0.353700000000001,4.35475440000001
0.355050000000001,4.37137560000001
0.356400000000001,4.38799680000001
0.357750000000001,4.40461800000001
0.359100000000001,4.42123920000001
0.360450000000001,4.43786040000001
0.361800000000001,4.45448160000001
0.363150000000001,4.47110280000001
0.364500000000001,4.48772400000001
0.365850000000001,4.50434520000001
0.367200000000001,4.52096640000001
0.368550000000001,4.53758760000001
0.369900000000001,4.55420880000001
0.371250000000001,4.57083000000001
0.372600000000001,4.58745120000001
0.373950000000001,4.60407240000001
0.375300000000001,4.62069360000001
0.376650000000001,4.63731480000001
0.378000000000001,4.65393600000001
0.379350000000001,4.67055720000001
0.380700000000001,4.68717840000001
0.382050000000001,4.70379960000001
0.383400000000001,4.72042080000001
0.384750000000001,4.73704200000001
0.386100000000001,4.75366320000001
0.387450000000001,4.77028440000001
0.388800000000001,4.78690560000001
0.390150000000001,4.80352680000001
0.391500000000001,4.82014800000001
0.392850000000001,4.83676920000001
0.394200000000001,4.85339040000001
0.395550000000001,4.87001160000001
0.396900000000001,4.88663280000001
0.398250000000001,4.90325400000001
0.399600000000001,4.91987520000001
0.400950000000001,4.93649640000001
0.402300000000001,4.95311760000001
0.403650000000002,4.96973880000002
0.405000000000002,4.98636000000002
0.406350000000002,5.00298120000002
0.407700000000002,5.01960240000002
0.409050000000002,5.03622360000002
0.410400000000002,5.05284480000002
0.411750000000002,5.06946600000002
0.413100000000002,5.08608720000002
0.414450000000002,5.10270840000002
0.415800000000002,5.11932960000002
0.417150000000002,5.13595080000002
0.418500000000002,5.15257200000002
0.419850000000002,5.16919320000002
0.421200000000002,5.18581440000002
0.422550000000002,5.20243560000002
0.423900000000002,5.21905680000002
0.425250000000002,5.23567800000002
0.426600000000002,5.25229920000002
0.427950000000002,5.26892040000002
0.429300000000002,5.28554160000002
0.430650000000002,5.30216280000002
0.432000000000002,5.31878400000002
0.433350000000002,5.33540520000002
0.434700000000002,5.35202640000002
0.436050000000002,5.36864760000002
0.437400000000002,5.38526880000002
0.438750000000002,5.40189000000002
0.440100000000002,5.41851120000002
0.441450000000002,5.43513240000002
0.442800000000002,5.45175360000002
0.444150000000002,5.46837480000002
0.445500000000002,5.48499600000002
0.446850000000002,5.50161720000002
0.448200000000002,5.51823840000002
0.449550000000002,5.53485960000002
0.450900000000002,5.55148080000002
0.452250000000002,5.56810200000002
0.453600000000002,5.58472320000002
0.454950000000002,5.60134440000002
0.456300000000002,5.61796560000002
0.457650000000002,5.63458680000002
0.459000000000002,5.65120800000002
0.460350000000002,5.66782920000002
0.461700000000002,5.68445040000002
0.463050000000002,5.70107160000002
0.464400000000002,5.71769280000002
0.465750000000002,5.73431400000002
0.467100000000002,5.75093520000002
0.468450000000002,5.76755640000002
0.469800000000002,5.78417760000002
0.471150000000002,5.80079880000002
0.472500000000002,5.81742000000002
0.473850000000002,5.83404120000002
0.475200000000002,5.85066240000002
0.476550000000002,5.86728360000002
0.477900000000002,5.88390480000002
0.479250000000003,5.90052600000004
0.480600000000003,5.91714720000004
0.481950000000003,5.93376840000004
0.483300000000003,5.95038960000004
0.484650000000003,5.96701080000004
0.486000000000003,5.98363200000004
0.487350000000003,6.00025320000004
0.488700000000003,6.01687440000004
0.490050000000003,6.03349560000004
0.491400000000003,6.05011680000004
0.492750000000003,6.06673800000004
0.494100000000003,6.08335920000004
0.495450000000003,6.09998040000004
0.496800000000003,6.11660160000004
0.498150000000003,6.13322280000004
0.499500000000003,6.14984400000004
0.500850000000003,6.16646520000004
0.502200000000003,6.18308640000004
0.503550000000003,6.19970760000004
0.504900000000003,6.21632880000004
0.506250000000003,6.23295000000004
0.507600000000003,6.24957120000004
0.508950000000003,6.26619240000004
0.510300000000003,6.28281360000004
0.511650000000002,6.29943480000003
0.513000000000002,6.31605600000002
0.514350000000002,6.33267720000002
0.515700000000002,6.34929840000003
0.517050000000002,6.36591960000002
0.518400000000002,6.38254080000002
0.519750000000002,6.39916200000002
0.521100000000002,6.41578320000002
0.522450000000002,6.43240440000002
0.523800000000002,6.44902560000002
0.525150000000002,6.46564680000002
0.526500000000002,6.48226800000002
0.527850000000002,6.49888920000002
0.529200000000002,6.51551040000002
0.530550000000002,6.53213160000002
0.531900000000002,6.54875280000002
0.533250000000002,6.56537400000002
0.534600000000002,6.58199520000002
0.535950000000002,6.59861640000002
0.537300000000002,6.61523760000002
0.538650000000002,6.63185880000002
0.540000000000002,6.64848000000003
0.541350000000002,6.66510120000002
0.542700000000002,6.68172240000002
0.544050000000002,6.69834360000002
0.545400000000002,6.71496480000002
0.546750000000002,6.73158600000002
0.548100000000001,6.74820720000001
0.549450000000001,6.76482840000001
0.550800000000001,6.78144960000001
0.552150000000001,6.79807080000001
0.553500000000001,6.81469200000001
0.554850000000001,6.83131320000001
0.556200000000001,6.84793440000001
0.557550000000001,6.86455560000001
0.558900000000001,6.88117680000001
0.560250000000001,6.89779800000001
0.561600000000001,6.91441920000001
0.562950000000001,6.93104040000001
0.564300000000001,6.94766160000001
0.565650000000001,6.96428280000001
0.567000000000001,6.98090400000001
0.568350000000001,6.99752520000001
0.569700000000001,7.01414640000001
0.571050000000001,7.03076760000001
0.572400000000001,7.04738880000001
0.573750000000001,7.06401000000001
0.575100000000001,7.08063120000001
0.576450000000001,7.09725240000001
