"Time [s]","Moving1.Speed [rpm]"
0,0
0.00135,0
0.0027,-2.09241847816841E-11
0.00405,-3.25408703509623E-10
0.0054,-1.6728403826478E-09
0.00675,-5.42640811321834E-09
0.0081,-1.36133650753227E-08
0.00945,-2.89515167707572E-08
0.0108,-5.48426103344345E-08
0.01215,-9.53456335117689E-08
0.0135,-1.55129004292178E-07
0.01485,-2.39411495065808E-07
0.0162,-3.53921185823124E-07
0.01755,-5.04779933197028E-07
0.0189,-6.98580983591843E-07
0.02025,-9.41977781256032E-07
0.0216,-1.24196523957801E-06
0.02295,-1.60563935607816E-06
0.0243,-2.04006007839034E-06
0.02565,-2.55232037138048E-06
0.027,-3.14934895772571E-06
0.02835,-3.83782298864931E-06
0.0297,-4.62413944951858E-06
0.03105,-5.51433083418159E-06
0.0324,-6.51394320270051E-06
0.03375,-7.62788325722792E-06
0.0351,-8.8604504751352E-06
0.03645,-1.021526856783E-05
0.0378,-1.16951165449063E-05
0.03915,-1.33018068559813E-05
0.0405,-1.50359842801659E-05
0.04185,-1.68970360374787E-05
0.0432,-1.88829653709633E-05
0.04455,-2.0990897141018E-05
0.0459,-2.32166332958839E-05
0.04725,-2.55542147725866E-05
0.0486,-2.7996218386377E-05
0.04995,-3.05334001260226E-05
0.0513,-3.31550951295112E-05
0.05265,-3.58489978700463E-05
0.054,-3.86001357358334E-05
0.05535,-4.13914647460696E-05
0.0567,-4.42037554363938E-05
0.0580499999999999,-4.70148058213623E-05
0.0593999999999999,-4.98004874014558E-05
0.0607499999999999,-5.25339818024478E-05
0.0620999999999999,-5.51854209078845E-05
0.0634499999999999,-5.77223345148764E-05
0.0647999999999999,-6.01096880668355E-05
0.0661499999999999,-6.23094518544954E-05
0.0674999999999999,-6.42808813630919E-05
0.06885,-6.59803530254644E-05
0.0702,-6.73626138546217E-05
0.07155,-6.83812979112694E-05
0.0729,-6.89873175616507E-05
0.07425,-6.91291300790621E-05
0.0756,-6.87508947081661E-05
0.07695,-6.77913984594503E-05
0.0783,-6.61867157804317E-05
0.07965,-6.38700451577313E-05
0.081,-6.07723971879806E-05
0.08235,-5.68225849074731E-05
0.0837,-5.19457157997424E-05
0.08505,-4.60667172030658E-05
0.0864,-3.91079182689203E-05
0.08775,-3.09898231599523E-05
0.0891,-2.16337478333721E-05
0.09045,-1.09571057103153E-05
0.0918,1.12084712705954E-06
0.09315,1.46809755626138E-05
0.0945,2.98027260924983E-05
0.09585,4.65637893387679E-05
0.0972,6.50409804123493E-05
0.09855,8.53097207902325E-05
0.0999,0.000107443827826656
0.10125,0.000131512240939865
0.1026,0.000157578359805749
0.10395,0.00018570515112919
0.1053,0.000215960113494061
0.10665,0.00024840975144321
0.108,0.000283098257708679
0.10935,0.000320108053141902
0.1107,0.000359469986600862
0.11205,0.000401232665548094
0.1134,0.000445483181482963
0.11475,0.000492236336351304
0.1161,0.000541434248093037
0.11745,0.000593115977332773
0.1188,0.000647193607663122
0.12015,0.000703754601653085
0.1215,0.000762650847410228
0.12285,0.000823937774017945
0.1242,0.000887380568195761
0.12555,0.000953002452225862
0.1269,0.00102059822718606
0.12825,0.00109009892523391
0.1296,0.00116138813240366
0.13095,0.00123421400855486
0.1323,0.00130858877241774
0.13365,0.00138419140199258
0.135,0.00146090221772861
0.13635,0.00153849637732836
0.1377,0.00161669036732565
0.13905,0.00169524721205424
0.1404,0.00177387509454174
0.14175,0.00185231057787983
0.1431,0.00193031104747583
0.14445,0.00200755090074091
0.1458,0.0020837106899458
0.14715,0.00215853532322208
0.1485,0.00223177076629991
0.14985,0.00230313127304624
0.1512,0.00237236479985125
0.15255,0.00243905218413432
0.1539,0.00250316926266668
0.15525,0.00256415172662939
0.1566,0.00262227511515466
0.15795,0.0026769931440587
0.1593,0.00272807328035266
0.16065,0.00277518716664486
0.162,0.00281805534388224
0.16335,0.00285666564121398
0.1647,0.00289090256002114
0.16605,0.00292076131456367
0.1674,0.00294624640916844
0.16875,0.00296734957713401
0.1701,0.00298426424596886
0.17145,0.0029975135949842
0.1728,0.0030069226426233
0.17415,0.00301304687146433
0.1755,0.00301590936097439
0.17685,0.00301602916020552
0.1782,0.00301293728674228
0.17955,0.0030085741005111
0.1809,0.00300358865088406
0.18225,0.0029977422305094
0.1836,0.00299202041573964
0.18495,0.00298691607976609
0.1863,0.00298295576801112
0.18765,0.0029814671452726
0.189,0.00298253407378751
0.19035,0.00298740392292806
0.1917,0.00299657370262616
0.19305,0.00301101744906772
0.1944,0.00303161560603423
0.19575,0.00305872057835353
0.1971,0.00309312515118184
0.19845,0.00313542373702802
0.1998,0.00318636905726234
0.20115,0.00324595089552653
0.2025,0.00331522422246909
0.20385,0.00339460412202417
0.2052,0.00348453472194393
0.20655,0.00358519596715363
0.2079,0.0036970478003668
0.20925,0.00381995586349374
0.2106,0.003953933851372
0.21195,0.00409748690228781
0.2133,0.00425014547564381
0.21465,0.00441162057317577
0.216,0.00458093578056008
0.21735,0.00475692948103664
0.2187,0.00493838528382811
0.22005,0.00512432598065611
0.2214,0.00531406774845585
0.22275,0.00550622212840931
0.2241,0.00569998629809388
0.22545,0.00589385834999498
0.2268,0.00608583326356735
0.22815,0.00627582238176026
0.2295,0.00646235162540373
0.23085,0.00664469068021525
0.2322,0.00682068529105451
0.23355,0.00698940171073565
0.2349,0.0071497503435301
0.23625,0.00730073763541379
0.2376,0.00744161618660147
0.23895,0.00757213956433036
0.2403,0.00769141825136321
0.24165,0.00779858691992103
0.243,0.00789297060841948
0.24435,0.00797482891992775
0.2457,0.00804420333971455
